,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
141,3.46,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,0,0,Social Acceptance,Software Development
142,3.21,2,2,1,1,2,2,2,1,1,1,2,2,2,3,2,1,1,1,1,0,11,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Bank Job,BCS,Govt Job"
143,2.75,3,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,0,4,Job Security,"BCS,Govt Job"
144,3.271183673,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,5,"Job Security,Salary,flaxible Work Life Balanced","Cyber Security,Researcher,BCS,Govt Job"
145,3.49,1,1,2,1,1,1,1,1,2,3,1,3,2,2,1,1,1,1,1,0,5,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Database Administration,Govt Job"
146,3.55,3,3,2,2,0,2,3,3,3,3,2,3,1,0,1,1,2,0,2,1,3,Social Acceptance,Software Development
147,3.85,2,2,3,2,2,2,2,1,1,2,2,1,1,1,2,1,2,0,3,3,0,Social Acceptance,"Researcher,Abroad"
148,3.11,3,3,2,1,3,2,2,0,3,3,2,3,0,2,1,1,1,1,1,0,4,Social Acceptance,"Software Development,Database Administration"
149,3.5,2,1,3,2,2,3,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,Job Security,"Bank Job,BCS,Govt Job"
150,2.98,3,3,3,1,3,2,2,3,3,3,2,3,2,2,2,1,2,2,1,0,5,"Social Acceptance,Job Environment","Software Development,Database Administration"
151,3.8,3,3,2,2,3,3,2,2,2,1,3,1,2,2,2,1,3,3,3,5,1,Social Acceptance,"Researcher,Abroad"
152,3.5,3,3,3,2,3,2,1,3,3,3,2,3,2,2,1,1,1,1,1,1,5,Job Security,"Software Development,Database Administration,Data Analysis"
153,3.1,3,3,2,2,3,2,2,2,2,1,1,2,2,2,1,1,1,1,2,0,5,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Gaming"
154,2.89,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,0,6,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced",Software Development
155,2.92,2,2,2,1,2,3,3,2,2,3,1,3,2,2,1,1,2,2,1,0,5,flaxible Work Life Balanced,Software Development
