,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
182,Male,2nd,3.65,Hajee Mohammad Danesh Science & Technology University (HMDSTU),1,2,3,2,2,2,2,2,2,1,1,3,1,1,1,1,0,30,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced",Software Development
183,Female,4th,3.21,Hajee Mohammad Danesh Science & Technology University (HMDSTU),3,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,0,5,Job Security,"Software Development,Data Analysis,Govt Job,Other"
184,Male,3rd,3.54,Hajee Mohammad Danesh Science & Technology University (HMDSTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,other
185,Male,3rd,3.5,"Independent University, Bangladesh (IUB)",1,2,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Management,Business"
186,Male,4th,1.75,"Independent University, Bangladesh (IUB)",2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,flaxible Work Life Balanced,Software Development
187,Male,3rd,3.37,University of Chittagong (CU),0,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,0,1,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security,Database Administration,Data Analysis,UI/UX Designing,Management,Bank Job,BCS,Govt Job,Abroad"
188,Female,4th,4.0,"Independent University, Bangladesh (IUB)",2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Cyber Security,Abroad"
189,Male,4th,3.43,"Independent University, Bangladesh (IUB)",1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,0,1,Salary,Networking
190,Male,4th,3.96,"Independent University, Bangladesh (IUB)",3,3,3,3,2,2,3,3,2,2,2,1,1,3,1,3,1,5,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Data Analysis,ML/AI Engineer,Teaching,Researcher,Abroad"
191,Male,4th,3.67,"Independent University, Bangladesh (IUB)",2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,3,0,0,flaxible Work Life Balanced,Software Development
192,Female,4th,3.3,University of Rajshahi (RU),2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,Salary,Software Development
193,Male,4th,3.43,University of Rajshahi (RU),2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,0,5,Salary,Software Development
