,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project
96,3.69,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,0,2
97,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
98,3,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,0,4
99,3.62,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,2.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
101,3.25,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,0,3
102,3.48,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
103,3,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1,0,3
104,3.81,2,1,1,2,2,2,2,2,1,1,2,2,0,0,0,1,0,0,0,0,2
105,3.25,3,3,1,2,3,3,2,3,3,2,2,3,2,2,2,2,2,2,1,0,4
106,3.3,1,1,2,2,3,3,3,2,2,3,2,2,3,3,3,2,1,1,2,0,4
107,3.51,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,0,1,0,2
108,3.48,2,1,1,2,2,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,2
109,3.48,2,2,3,3,3,2,3,2,3,3,2,1,3,3,3,1,2,1,1,0,5
110,3.22,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1
111,3.85,3,3,2,1,2,2,1,2,3,3,1,1,2,2,1,1,1,1,1,0,1
112,3.41,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0
113,3.271183673,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,0,4
114,3,1,1,2,0,2,3,0,0,1,1,0,0,2,1,0,0,0,1,0,0,1
115,3.1,2,3,2,2,1,1,1,2,3,1,1,1,2,1,2,1,1,1,1,0,2
116,3.3,2,3,2,1,3,2,2,2,2,2,1,2,2,1,2,1,1,1,2,0,2
117,3,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,3
118,3.4,1,0,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,0,2
119,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3
120,3.21,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,2,1,1,1,0,11
121,3.5,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,0,1
122,3.24,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,0,5
123,2.85,3,2,3,1,3,3,3,0,0,0,3,2,2,2,2,0,0,0,0,0,5
124,3.39,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,0,4
125,3,1,1,1,2,2,2,3,2,1,2,1,3,0,1,1,1,1,1,1,0,2
126,2.74,2,1,3,2,1,2,2,1,1,1,2,2,1,1,1,1,0,1,1,0,2
127,2.8,2,2,2,2,2,2,2,2,1,2,1,1,2,3,2,1,1,2,2,0,6
128,3,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,0,2
129,3,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,0,4
130,2.8,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3
131,3.42,2,1,2,2,2,1,1,2,2,2,1,3,2,2,2,1,1,1,1,7,8
132,3.43,2,2,3,3,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,0,4
133,3.5,2,3,1,3,2,2,1,2,2,3,2,3,3,3,2,2,3,2,1,0,5
134,3.83,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,0,5
135,3.6,3,2,1,2,3,2,1,2,2,3,2,1,2,2,2,2,2,1,2,0,4
136,3,3,3,1,1,3,3,2,2,3,2,3,1,1,1,1,0,2,0,2,0,2
137,3,2,1,2,2,1,1,1,0,2,2,1,1,2,2,0,1,1,0,0,0,0
138,3.25,2,2,2,1,1,2,1,2,3,3,1,2,1,2,2,1,1,1,1,0,2
139,2.87,2,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,0,1
140,3.82,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,0,1
141,3.46,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,0,0
142,3.21,2,2,1,1,2,2,2,1,1,1,2,2,2,3,2,1,1,1,1,0,11
143,2.75,3,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,0,4
144,3.271183673,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,5
145,3.49,1,1,2,1,1,1,1,1,2,3,1,3,2,2,1,1,1,1,1,0,5
146,3.55,3,3,2,2,0,2,3,3,3,3,2,3,1,0,1,1,2,0,2,1,3
147,3.85,2,2,3,2,2,2,2,1,1,2,2,1,1,1,2,1,2,0,3,3,0
148,3.11,3,3,2,1,3,2,2,0,3,3,2,3,0,2,1,1,1,1,1,0,4
149,3.5,2,1,3,2,2,3,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1
150,2.98,3,3,3,1,3,2,2,3,3,3,2,3,2,2,2,1,2,2,1,0,5
